,commonName,GPS,chi_eff,chirp_mass,chirp_mass_source,far,far_unit,mass_1_source,mass_2_source,network_matched_filter_snr,redshift,version,name,graceid,superevent
25,GW190720_000836,1247616534.7,0.18,10.4,8.9,1e-05,1/yr,13.4,7.8,11.6960978153441,0.16,1,GW190720_000836-v1,S190720a,S190720a
26,GW190727_060333,1248242632.0,0.11,44.7,28.6,1e-05,1/yr,38.0,29.4,12.29941092425987,0.55,1,GW190727_060333-v1,S190727h,S190727h
27,GW190728_064510,1248331528.5,0.12,10.1,8.6,1e-05,1/yr,12.3,8.1,13.64274847591606,0.18,1,GW190728_064510-v1,S190728q,S190728q
28,GW190731_140936,1248617394.6,0.06,46.6,29.5,0.20584212311867794,1/yr,41.5,28.8,8.460146466288636,0.55,1,GW190731_140936-v1,S190731aa,S190731aa
29,GW190803_022701,1248834439.9,-0.03,42.7,27.3,0.026934317250435554,1/yr,37.3,27.3,8.614396126273874,0.55,1,GW190803_022701-v1,S190803e,S190803e
30,GW190814,1249852257.0,0.0,6.41,6.09,1e-05,1/yr,23.2,2.59,22.17523325999954,0.05,2,GW190814-v2,S190814bv,S190814bv
31,GW190828_063405,1251009263.8,0.19,34.5,25.0,1e-05,1/yr,32.1,26.2,16.0359229190588,0.38,1,GW190828_063405-v1,S190828j,S190828j
32,GW190828_065509,1251010527.9,0.08,17.4,13.3,1e-05,1/yr,24.1,10.2,11.12790886853085,0.3,1,GW190828_065509-v1,S190828l,S190828l
33,GW190909_114149,1252064527.7,-0.06,49.8,30.9,1.1112276612026477,1/yr,45.8,28.3,8.543047309881066,0.62,1,GW190909_114149-v1,S190909w,S190909w
34,GW190910_112807,1252150105.3,0.02,43.9,34.3,1.8852694587530696e-05,1/yr,43.9,35.6,13.41737344451953,0.28,1,GW190910_112807-v1,S190910s,S190910s
35,GW190915_235702,1252627040.7,0.02,33.1,25.3,1e-05,1/yr,35.3,24.4,13.07209167194663,0.3,1,GW190915_235702-v1,S190915ak,S190915ak
36,GW190924_021846,1253326744.8,0.03,6.44,5.8,1e-05,1/yr,8.9,5.0,13.15903752184739,0.12,1,GW190924_021846-v1,S190924h,S190924h
37,GW190929_012149,1253755327.5,0.01,52.2,35.8,0.020161443585491597,1/yr,80.8,24.1,9.875628916044713,0.38,1,GW190929_012149-v1,S190929d,S190929d
38,GW190930_133541,1253885759.2,0.14,9.8,8.5,0.03309219802659227,1/yr,12.3,7.8,9.837638319153829,0.15,1,GW190930_133541-v1,S190930s,S190930s
