,scale_pos_weight_xgbqts,max_depth_xgbqts,n_estimators_xgbqts,val_xgb_dense_QTS_0_roc,test_xgb_dense_QTS_0_acc,val_xgb_dense_QTS_0_acc,test_xgb_dense_QTS_0_f1,val_xgb_dense_QTS_0_f1,test_xgb_dense_QTS_0_roc
67,1.0,7.0,135.0,0.954426225725334,0.9381300146061345,0.9878476522239356,0.010052503521577667,0.2383575363044567,0.8875859831482416
68,1.0,7.0,150.0,0.9531439227055305,0.938230056623782,0.9877997139684087,0.010068620534855384,0.23458646616541354,0.8868345326002909
69,1.0,7.0,165.0,0.9534182016129165,0.9380899977990756,0.9877917242591542,0.00998272221155692,0.2337011033099298,0.8863263154629392
70,1.0,8.0,105.0,0.9539164058906011,0.9377578583004862,0.9880154361182797,0.010244988864142537,0.2408906882591093,0.8878617267973301
71,1.0,8.0,120.0,0.9534338252181254,0.9377638608215451,0.9879994566997707,0.010182975338106604,0.2383367139959432,0.8879584938610207
72,1.0,8.0,135.0,0.9531338734003121,0.9377778667040156,0.9879115698979715,0.010248249522597072,0.2385505787619527,0.8863828256944385
73,1.0,8.0,150.0,0.9527745304805059,0.9378038776286041,0.9879754875720073,0.010000318481480301,0.23951490651844362,0.8867707023193252
74,1.0,8.0,165.0,0.952219046135903,0.9377338482162508,0.9879115698979715,0.010052169487212114,0.24008036162732296,0.8871320781636258
75,10.0,4.0,105.0,0.9565504717939642,0.8764140939194461,0.9705259625602224,0.006721878266462973,0.14269114571229377,0.8894410102702976
76,10.0,4.0,120.0,0.9560826489104686,0.8789451569659257,0.9713409129041795,0.006763633975769117,0.14493444576877235,0.8896937033312878
77,10.0,4.0,135.0,0.9564687056658314,0.8804737989955781,0.9719880793537923,0.006816519252510475,0.14695863746958637,0.889744338259926
78,10.0,4.0,150.0,0.956360887224654,0.8816242821985234,0.9723875648165163,0.006782278778518307,0.14792899408284024,0.8904049520850132
79,10.0,4.0,165.0,0.9563123820592916,0.8831589267492347,0.9727710708607313,0.006870748299319727,0.14885114885114886,0.8905059226733505
80,10.0,5.0,105.0,0.9572334062331141,0.885153764581124,0.9733463299270539,0.007023613874232332,0.15372907153729073,0.8905698148720275
81,10.0,5.0,120.0,0.9566012533750294,0.8875467696432502,0.9738576713193406,0.007066763245764358,0.1536471805483704,0.8904638943066313
